id,total_votes,missed_votes,percent,percentile,first_vote_date,last_vote_date
412194,5137,143,2.78372591006,53.9325842697,2007-01-04,2013-01-01
412499,900,25,2.77777777778,53.7078651685,2011-09-15,2013-01-01
400373,10969,299,2.72586379798,53.4831460674,1997-01-07,2013-01-01
400259,8568,232,2.70774976657,53.2584269663,2001-01-03,2013-01-01
412392,1700,46,2.70588235294,53.0337078652,2010-11-16,2013-01-01
400195,8568,231,2.69607843137,52.808988764,2001-01-03,2013-01-01
400075,13431,362,2.69525724071,52.5842696629,1993-01-05,2013-01-01
400655,6351,169,2.66099826799,52.3595505618,2005-01-04,2013-01-01
400313,5917,157,2.65337164103,52.1348314607,2003-01-07,2013-01-01
412192,5137,135,2.62799299202,51.6853932584,2007-01-04,2013-01-01
412236,5137,135,2.62799299202,51.6853932584,2007-01-04,2013-01-01
400137,8379,220,2.62561164817,51.4606741573,2001-06-26,2013-01-01
400320,10969,287,2.616464582,51.2359550562,1997-01-07,2013-01-01
400347,13431,351,2.61335715881,51.0112359551,1993-01-05,2013-01-01
400129,13202,342,2.5905165884,50.7865168539,1993-06-16,2013-01-01
400630,6351,164,2.58227050858,50.5617977528,2005-01-04,2013-01-01
412302,3261,84,2.57589696412,50.3370786517,2009-01-06,2013-01-01
412209,5137,132,2.56959314775,50.1123595506,2007-01-04,2013-01-01
400407,10969,281,2.56176497402,49.8876404494,1997-01-07,2013-01-01
412218,3829,97,2.53329851136,49.6629213483,2007-01-04,2011-05-05
400219,13431,340,2.53145707691,49.4382022472,1993-01-05,2013-01-01
412502,278,7,2.51798561151,49.2134831461,2012-06-19,2013-01-01
412478,1606,40,2.49066002491,48.9887640449,2011-01-05,2013-01-01
400636,6351,158,2.48779719729,48.7640449438,2005-01-04,2013-01-01
400267,13431,334,2.48678430497,48.5393258427,1993-01-05,2013-01-01
400031,7572,188,2.48283148442,48.3146067416,2003-01-07,2013-01-01
400165,18811,463,2.46132582,48.0898876404,1981-01-05,2013-01-01
400406,8568,210,2.45098039216,47.8651685393,2001-01-03,2013-01-01
412190,5137,124,2.41386022971,47.6404494382,2007-01-04,2013-01-01
412379,2713,65,2.39587172871,47.4157303371,2009-07-16,2013-01-01
400062,10276,246,2.39392759829,47.191011236,1998-03-17,2013-01-01
412458,1606,38,2.36612702366,46.9662921348,2011-01-05,2013-01-01
400077,7572,177,2.33755942948,46.7415730337,2003-01-07,2013-01-01
400218,10969,256,2.33384994074,46.5168539326,1997-01-07,2013-01-01
400111,12309,287,2.3316272646,46.2921348315,1995-01-04,2013-01-01
400189,18750,436,2.32533333333,46.0674157303,1981-06-04,2013-01-01
400351,9782,227,2.32058883664,45.8426966292,1999-01-06,2013-01-01
400266,10969,254,2.31561673808,45.6179775281,1997-01-07,2013-01-01
400654,6351,147,2.31459612659,45.393258427,2005-01-04,2013-01-01
412435,1606,37,2.30386052304,45.1685393258,2011-01-05,2013-01-01
400638,6351,146,2.29885057471,44.9438202247,2005-01-04,2013-01-01
412202,5137,118,2.29706054117,44.4943820225,2007-01-04,2013-01-01
412239,5137,118,2.29706054117,44.4943820225,2007-01-04,2013-01-01
400348,13431,307,2.28575683121,44.2696629213,1993-01-05,2013-01-01
409888,8446,190,2.24958560265,44.0449438202,2001-05-17,2013-01-01
412456,1606,36,2.24159402242,43.8202247191,2011-01-05,2013-01-01
412421,1606,35,2.17932752179,43.3707865169,2011-01-05,2013-01-01
412423,1606,35,2.17932752179,43.3707865169,2011-01-05,2013-01-01
412294,3261,71,2.17724624348,43.1460674157,2009-01-06,2013-01-01
400260,7364,160,2.17273221076,42.9213483146,2003-01-07,2012-06-29
412226,5137,111,2.16079423788,42.6966292135,2007-01-04,2013-01-01
400340,18805,405,2.15368253124,42.4719101124,1981-01-05,2013-01-01
412270,3261,70,2.14658080343,42.2471910112,2009-01-06,2013-01-01
400647,6351,136,2.1413950559,42.0224719101,2005-01-04,2013-01-01
400380,18811,402,2.13704747222,41.797752809,1981-01-05,2013-01-01
412383,2395,51,2.12943632568,41.5730337079,2009-11-06,2013-01-01
412475,1606,34,2.11706102117,41.3483146067,2011-01-05,2013-01-01
400441,7330,155,2.11459754434,41.1235955056,2003-06-05,2013-01-01
400032,7572,160,2.11304807184,40.6741573034,2003-01-07,2013-01-01
400220,7572,160,2.11304807184,40.6741573034,2003-01-07,2013-01-01
412291,1683,35,2.07961972668,40.4494382022,2009-01-06,2011-02-09
400360,9782,198,2.02412594561,40.2247191011,1999-01-06,2013-01-01
400437,8866,178,2.00766974961,40.0,1999-01-06,2011-08-01
400285,7572,152,2.00739566825,39.7752808989,2003-01-07,2013-01-01
400004,10969,219,1.99653569149,39.5505617978,1997-01-07,2013-01-01
400400,9782,195,1.99345737068,39.3258426966,1999-01-06,2013-01-01
412403,1606,32,1.99252801993,39.1011235955,2011-01-05,2013-01-01
412331,3068,61,1.98826597132,38.8764044944,2009-04-21,2013-01-01
400342,8564,169,1.97337692667,38.6516853933,2001-01-03,2013-01-01
400316,14363,282,1.96337812435,38.4269662921,1991-01-03,2013-01-01
400142,12309,241,1.95791697132,38.202247191,1995-01-04,2013-01-01
412457,1606,31,1.9302615193,37.9775280899,2011-01-05,2013-01-01
400442,6870,132,1.92139737991,37.7528089888,2004-02-24,2013-01-01
412196,5137,97,1.8882616313,37.5280898876,2007-01-04,2013-01-01
400417,17095,322,1.88359169348,37.3033707865,1985-01-03,2013-01-01
400232,8568,161,1.87908496732,37.0786516854,2001-01-03,2013-01-01
400433,8065,151,1.87228766274,36.8539325843,2001-12-19,2013-01-01
412415,1606,30,1.86799501868,36.6292134831,2011-01-05,2013-01-01
400115,18795,351,1.8675179569,36.404494382,1981-01-05,2013-01-01
400363,7572,141,1.86212361331,36.1797752809,2003-01-07,2013-01-01
400424,13431,250,1.86136549773,35.9550561798,1993-01-05,2013-01-01
